customer_id,risk_segment,value_segment,churn_probability
CUST_000130,Low Risk/Stable,Platinum,0.07268255
CUST_000131,Low Risk/Stable,Silver,0.09241969
CUST_000132,High Risk,Silver,0.40445778
CUST_000133,Medium Risk,Silver,0.15835711
CUST_000134,Low Risk/Stable,Silver,0.099871516
CUST_000135,Medium Risk,Silver,0.19428886
CUST_000136,High Risk,Silver,0.61685747
CUST_000137,Low Risk/Stable,Silver,0.10905403
CUST_000138,Low Risk/Stable,Platinum,0.09513955
CUST_000139,Low Risk/Stable,Platinum,0.13502735
CUST_000140,High Risk,Silver,0.411821
CUST_000141,Low Risk/Stable,Silver,0.07171289
CUST_000142,Low Risk/Stable,Silver,0.09713975
CUST_000143,Medium Risk,Silver,0.21621501
CUST_000144,Medium Risk,Silver,0.22280295
CUST_000145,Medium Risk,Silver,0.22007947
CUST_000146,High Risk,Silver,0.5572124
CUST_000147,Low Risk/Stable,Silver,0.06723436
CUST_000148,Medium Risk,Silver,0.15296908
CUST_000149,Medium Risk,Silver,0.16798769
CUST_000150,Low Risk/Stable,Platinum,0.112336814
CUST_000151,Medium Risk,Silver,0.16371389
CUST_000152,Low Risk/Stable,Silver,0.125173
CUST_000153,Low Risk/Stable,Silver,0.059919484
CUST_000154,Low Risk/Stable,Platinum,0.069928445
CUST_000155,Low Risk/Stable,Gold,0.09986447
CUST_000156,Low Risk/Stable,Silver,0.10106553
CUST_000157,Low Risk/Stable,Silver,0.13509345
CUST_000158,Medium Risk,Silver,0.3901401
CUST_000159,Low Risk/Stable,Platinum,0.07935857
CUST_000160,Low Risk/Stable,Silver,0.1294094
CUST_000161,Low Risk/Stable,Silver,0.07319185
CUST_000162,Low Risk/Stable,Gold,0.061759006
CUST_000163,Medium Risk,Silver,0.29451632
CUST_000164,Medium Risk,Silver,0.18481995
CUST_000165,Low Risk/Stable,Silver,0.08251897
CUST_000166,Low Risk/Stable,Silver,0.078009084
CUST_000167,Low Risk/Stable,Silver,0.060252406
CUST_000168,Low Risk/Stable,Silver,0.063768506
CUST_000169,Medium Risk,Silver,0.38456085
CUST_000170,Low Risk/Stable,Silver,0.12934832
CUST_000171,Low Risk/Stable,Gold,0.113579705
CUST_000172,Medium Risk,Silver,0.1580405
CUST_000173,High Risk,Silver,0.6893766
CUST_000174,Low Risk/Stable,Silver,0.12915862
CUST_000175,Low Risk/Stable,Gold,0.11864586
CUST_000176,Medium Risk,Silver,0.2205457
CUST_000177,Low Risk/Stable,Silver,0.13911457
CUST_000178,Low Risk/Stable,Silver,0.07373235
CUST_000179,Medium Risk,Silver,0.1555922
CUST_000180,Medium Risk,Silver,0.1560672
CUST_000181,Low Risk/Stable,Silver,0.07037517
CUST_000182,Low Risk/Stable,Silver,0.10951158
CUST_000183,Medium Risk,Silver,0.16864514
CUST_000184,Medium Risk,Silver,0.33709344
CUST_000185,Medium Risk,Silver,0.18864721
CUST_000186,Low Risk/Stable,Silver,0.095015675
CUST_000187,Low Risk/Stable,Silver,0.07948605
CUST_000188,Low Risk/Stable,Silver,0.10531401
CUST_000189,Medium Risk,Silver,0.15928414
CUST_000190,Medium Risk,Silver,0.394434
CUST_000191,Low Risk/Stable,Gold,0.09604137
CUST_000192,Medium Risk,Silver,0.3049767
CUST_000193,Medium Risk,Gold,0.30474287
CUST_000194,Medium Risk,Silver,0.17448747
CUST_000195,Low Risk/Stable,Silver,0.093034446
CUST_000196,Medium Risk,Platinum,0.19097051
CUST_000197,Medium Risk,Silver,0.16780896
CUST_000198,Low Risk/Stable,Gold,0.09662473
CUST_000199,Low Risk/Stable,Gold,0.09448998
CUST_000200,Low Risk/Stable,Silver,0.14537667
CUST_000201,Low Risk/Stable,Silver,0.06492036
CUST_000202,Medium Risk,Silver,0.15027529
CUST_000203,Low Risk/Stable,Silver,0.07817273
CUST_000204,High Risk,Silver,0.45746326
CUST_000205,Low Risk/Stable,Silver,0.077023335
CUST_000206,Low Risk/Stable,Silver,0.0886136
CUST_000207,Low Risk/Stable,Platinum,0.11049161
CUST_000208,Low Risk/Stable,Silver,0.09433406
CUST_000209,High Risk,Silver,0.58161926
CUST_000210,High Risk,Silver,0.40183425
CUST_000211,Medium Risk,Silver,0.22104867
CUST_000212,High Risk,Silver,0.4624025
CUST_000213,Low Risk/Stable,Silver,0.0958083
CUST_000214,Low Risk/Stable,Silver,0.13728158
CUST_000215,Low Risk/Stable,Gold,0.10966689
CUST_000216,Medium Risk,Silver,0.28763023
CUST_000217,High Risk,Silver,0.48419216
CUST_000218,High Risk,Silver,0.58376366
CUST_000219,Medium Risk,Silver,0.24850011
CUST_000220,Low Risk/Stable,Silver,0.118265875
CUST_000221,Medium Risk,Silver,0.2324494
CUST_000222,High Risk,Silver,0.46845642
CUST_000223,Low Risk/Stable,Silver,0.10904549
CUST_000224,Low Risk/Stable,Silver,0.1204702
CUST_000225,Medium Risk,Silver,0.1564118
CUST_000226,Medium Risk,Silver,0.18033336
CUST_000227,Low Risk/Stable,Silver,0.10442897
CUST_000228,High Risk,Silver,0.4754824
CUST_000229,Low Risk/Stable,Silver,0.07739462
CUST_000230,Low Risk/Stable,Gold,0.056510624
CUST_000231,High Risk,Silver,0.4806214
CUST_000232,Low Risk/Stable,Silver,0.14084223
CUST_000233,Low Risk/Stable,Gold,0.08177722
CUST_000234,High Risk,Silver,0.57109916
CUST_000235,Low Risk/Stable,Silver,0.1097685
CUST_000236,Low Risk/Stable,Silver,0.14176673
CUST_000237,Low Risk/Stable,Silver,0.08428653
CUST_000238,Medium Risk,Silver,0.29487675
CUST_000239,Low Risk/Stable,Silver,0.12817538
CUST_000240,Low Risk/Stable,Silver,0.0898743
CUST_000241,Low Risk/Stable,Silver,0.1411739
CUST_000242,Medium Risk,Silver,0.19652094
CUST_000243,Low Risk/Stable,Silver,0.070924744
CUST_000244,Medium Risk,Silver,0.3347506
CUST_000245,Low Risk/Stable,Silver,0.07870237
CUST_000246,Low Risk/Stable,Silver,0.10699922
CUST_000247,Low Risk/Stable,Platinum,0.14859174
CUST_000248,Low Risk/Stable,Silver,0.11944526
CUST_000249,Low Risk/Stable,Gold,0.07591315
CUST_000250,Medium Risk,Silver,0.15813574
CUST_000251,Medium Risk,Silver,0.21105435
CUST_000252,Medium Risk,Gold,0.31018382
CUST_000253,Low Risk/Stable,Silver,0.09502531
CUST_000254,Low Risk/Stable,Gold,0.09639845
CUST_000255,Low Risk/Stable,Silver,0.06530343
CUST_000256,Medium Risk,Silver,0.15475185
CUST_000257,Medium Risk,Silver,0.22289905
CUST_000258,Low Risk/Stable,Silver,0.144129
CUST_000259,High Risk,Silver,0.48652253
CUST_000260,Low Risk/Stable,Silver,0.0992277
CUST_000261,High Risk,Silver,0.5020255
CUST_000262,Medium Risk,Silver,0.15391274
CUST_000263,Low Risk/Stable,Silver,0.12571092
CUST_000264,Low Risk/Stable,Silver,0.08340694
CUST_000265,Low Risk/Stable,Gold,0.11797798
CUST_000266,Medium Risk,Silver,0.22138296
CUST_000267,Medium Risk,Silver,0.3556833
CUST_000268,Low Risk/Stable,Silver,0.09277124
CUST_000269,High Risk,Silver,0.5164195
CUST_000270,Medium Risk,Silver,0.37897542
CUST_000271,Low Risk/Stable,Silver,0.100816034
CUST_000272,High Risk,Silver,0.5002291
CUST_000273,Low Risk/Stable,Silver,0.114741966
CUST_000274,High Risk,Silver,0.55242586
CUST_000275,Low Risk/Stable,Silver,0.08395363
CUST_000276,Low Risk/Stable,Silver,0.051774677
CUST_000277,Low Risk/Stable,Gold,0.056359492
CUST_000278,Low Risk/Stable,Silver,0.13344076
CUST_000279,Medium Risk,Silver,0.18832041
CUST_000280,Low Risk/Stable,Gold,0.05992408
CUST_000281,High Risk,Silver,0.4325004
CUST_000282,Low Risk/Stable,Silver,0.068165764
CUST_000283,Medium Risk,Platinum,0.15200484
CUST_000284,Low Risk/Stable,Silver,0.12628734
CUST_000285,Low Risk/Stable,Silver,0.06340519
CUST_000286,Medium Risk,Silver,0.17302895
CUST_000287,Low Risk/Stable,Platinum,0.066111445
CUST_000288,Low Risk/Stable,Silver,0.072293036
CUST_000289,Low Risk/Stable,Silver,0.14722392
CUST_000290,High Risk,Silver,0.43277815
CUST_000291,Medium Risk,Silver,0.3444293
CUST_000292,Low Risk/Stable,Silver,0.14838602
CUST_000293,Low Risk/Stable,Silver,0.06803587
CUST_000294,Medium Risk,Silver,0.29383716
CUST_000295,Low Risk/Stable,Silver,0.075710915
CUST_000296,Medium Risk,Silver,0.25352776
CUST_000297,Low Risk/Stable,Silver,0.07990115
CUST_000298,Medium Risk,Silver,0.16095686
CUST_000299,High Risk,Silver,0.48629656
CUST_000300,Medium Risk,Silver,0.21893746
CUST_000301,Low Risk/Stable,Silver,0.08674911
CUST_000302,Low Risk/Stable,Silver,0.06528752
CUST_000303,Low Risk/Stable,Silver,0.1307387
CUST_000304,Medium Risk,Silver,0.18594675
CUST_000305,High Risk,Silver,0.66643894
CUST_000306,Low Risk/Stable,Silver,0.13807772
CUST_000307,Low Risk/Stable,Silver,0.07264872
CUST_000308,Medium Risk,Silver,0.3000194
CUST_000309,Low Risk/Stable,Silver,0.06381676
CUST_000310,Critical,Silver,0.7281203
CUST_000311,Low Risk/Stable,Platinum,0.13509715
CUST_000312,Low Risk/Stable,Silver,0.061215717
CUST_000313,Low Risk/Stable,Silver,0.062081102
CUST_000314,Low Risk/Stable,Silver,0.057828054
CUST_000315,Medium Risk,Silver,0.20594679
CUST_000316,Medium Risk,Gold,0.31772882
CUST_000317,Medium Risk,Gold,0.16508044
CUST_000318,High Risk,Silver,0.5489039
CUST_000319,Medium Risk,Silver,0.25127232
CUST_000320,Medium Risk,Silver,0.1930507
CUST_000321,Low Risk/Stable,Platinum,0.1484938
CUST_000322,Low Risk/Stable,Silver,0.113157645
CUST_000323,Medium Risk,Silver,0.22050183
CUST_000324,Low Risk/Stable,Gold,0.07527937
CUST_000325,Medium Risk,Platinum,0.19213213
CUST_000326,Low Risk/Stable,Silver,0.06458587
CUST_000327,Low Risk/Stable,Silver,0.08434216
CUST_000328,Low Risk/Stable,Silver,0.07708358
CUST_000329,Low Risk/Stable,Silver,0.1198837
CUST_000330,Low Risk/Stable,Silver,0.14014077
CUST_000331,High Risk,Silver,0.45349684
CUST_000332,High Risk,Silver,0.62551445
CUST_000333,Medium Risk,Silver,0.2534544
CUST_000334,Low Risk/Stable,Gold,0.12289726
CUST_000335,Low Risk/Stable,Silver,0.099021435
CUST_000336,Low Risk/Stable,Silver,0.10002451
CUST_000337,Low Risk/Stable,Silver,0.051174473
CUST_000338,Low Risk/Stable,Silver,0.08671186
CUST_000339,Low Risk/Stable,Platinum,0.10127413
CUST_000340,Low Risk/Stable,Silver,0.07326237
CUST_000341,Medium Risk,Platinum,0.15355957
CUST_000342,Low Risk/Stable,Platinum,0.1213409
CUST_000343,Medium Risk,Silver,0.3044137
CUST_000344,Medium Risk,Silver,0.25347656
CUST_000345,Low Risk/Stable,Platinum,0.06137757
CUST_000346,Low Risk/Stable,Silver,0.060707122
CUST_000347,Low Risk/Stable,Gold,0.054609433
CUST_000348,Medium Risk,Silver,0.24177018
CUST_000349,Low Risk/Stable,Silver,0.061378684
CUST_000350,Low Risk/Stable,Silver,0.09459242
CUST_000351,Medium Risk,Silver,0.27927187
CUST_000352,High Risk,Silver,0.5020303
CUST_000353,High Risk,Silver,0.67798764
CUST_000354,Medium Risk,Silver,0.15856458
CUST_000355,Low Risk/Stable,Silver,0.06721402
CUST_000356,Low Risk/Stable,Silver,0.14047092
CUST_000357,Low Risk/Stable,Silver,0.14372307
CUST_000358,Medium Risk,Silver,0.39743167
CUST_000359,Medium Risk,Silver,0.17200011
CUST_000360,Medium Risk,Silver,0.36018667
CUST_000361,Low Risk/Stable,Gold,0.09858136
CUST_000362,Low Risk/Stable,Platinum,0.0638595
CUST_000363,Low Risk/Stable,Silver,0.07454494
CUST_000364,Low Risk/Stable,Silver,0.07104732
CUST_000365,Medium Risk,Platinum,0.15186718
CUST_000366,High Risk,Silver,0.4322409
CUST_000367,Medium Risk,Silver,0.2520548
CUST_000368,Low Risk/Stable,Silver,0.07566996
CUST_000369,High Risk,Silver,0.41608235
CUST_000370,Medium Risk,Gold,0.33647296
CUST_000371,Low Risk/Stable,Platinum,0.11855896
CUST_000372,Medium Risk,Silver,0.3649742
CUST_000373,Low Risk/Stable,Silver,0.09086736
CUST_000374,Low Risk/Stable,Gold,0.11501662
CUST_000375,Low Risk/Stable,Gold,0.11354695
CUST_000376,Medium Risk,Silver,0.2106284
CUST_000377,Low Risk/Stable,Gold,0.14674403
CUST_000378,Low Risk/Stable,Silver,0.106933564
CUST_000379,Medium Risk,Silver,0.1939742
CUST_000380,Low Risk/Stable,Platinum,0.10908168
CUST_000381,High Risk,Silver,0.59720004
CUST_000382,High Risk,Silver,0.43316752
CUST_000383,Medium Risk,Silver,0.22535434
CUST_000384,Low Risk/Stable,Silver,0.06830156
CUST_000385,Low Risk/Stable,Silver,0.1429067
CUST_000386,High Risk,Silver,0.48967415
CUST_000387,Low Risk/Stable,Silver,0.10574915
CUST_000388,Low Risk/Stable,Silver,0.06808652
CUST_000389,Low Risk/Stable,Silver,0.060285434
CUST_000390,Low Risk/Stable,Silver,0.095928036
CUST_000391,Low Risk/Stable,Silver,0.103854686
CUST_000392,High Risk,Silver,0.57259125
CUST_000393,Low Risk/Stable,Silver,0.12943429
CUST_000394,High Risk,Silver,0.46903405
CUST_000395,High Risk,Silver,0.45999107
CUST_000396,High Risk,Silver,0.45738468
CUST_000397,Low Risk/Stable,Silver,0.10782883
CUST_000398,Medium Risk,Gold,0.19086364
CUST_000399,High Risk,Silver,0.6002484
CUST_000400,Critical,Silver,0.7304554
CUST_000401,Low Risk/Stable,Gold,0.12803607
CUST_000402,Low Risk/Stable,Silver,0.09825282
CUST_000403,Medium Risk,Silver,0.17451812
CUST_000404,Low Risk/Stable,Silver,0.0932768
CUST_000405,Low Risk/Stable,Platinum,0.14121272
CUST_000406,Low Risk/Stable,Silver,0.12146053
CUST_000407,Low Risk/Stable,Gold,0.1474675
CUST_000408,Low Risk/Stable,Silver,0.059606954
CUST_000409,Medium Risk,Silver,0.21670775
CUST_000410,Low Risk/Stable,Platinum,0.14455287
CUST_000411,Low Risk/Stable,Silver,0.10195525
CUST_000412,Low Risk/Stable,Silver,0.12733436
CUST_000413,Low Risk/Stable,Silver,0.111887194
CUST_000414,Low Risk/Stable,Silver,0.05756999
CUST_000415,Low Risk/Stable,Silver,0.10222125
CUST_000416,Low Risk/Stable,Silver,0.098099634
CUST_000417,Low Risk/Stable,Gold,0.059986115
CUST_000418,Low Risk/Stable,Silver,0.0996846
CUST_000419,Low Risk/Stable,Platinum,0.089884356
CUST_000420,Medium Risk,Silver,0.15050854
CUST_000421,Low Risk/Stable,Gold,0.09007752
CUST_000422,Medium Risk,Platinum,0.2739766
CUST_000423,Low Risk/Stable,Silver,0.08654858
CUST_000424,Low Risk/Stable,Silver,0.106038295
CUST_000425,Low Risk/Stable,Silver,0.095350035
CUST_000426,Medium Risk,Silver,0.37927788
CUST_000427,Low Risk/Stable,Silver,0.083584346
CUST_000428,Medium Risk,Platinum,0.33359936
CUST_000429,Medium Risk,Silver,0.20202523
CUST_000430,Low Risk/Stable,Platinum,0.07925847
CUST_000431,Low Risk/Stable,Silver,0.09683885
CUST_000432,Low Risk/Stable,Platinum,0.07732976
CUST_000433,Low Risk/Stable,Silver,0.07799628
CUST_000434,Low Risk/Stable,Gold,0.093787126
CUST_000435,Medium Risk,Silver,0.17503087
CUST_000436,Low Risk/Stable,Silver,0.08803779
CUST_000437,Medium Risk,Platinum,0.17899859
CUST_000438,Medium Risk,Silver,0.23220196
CUST_000439,Low Risk/Stable,Silver,0.08810849
CUST_000440,Medium Risk,Silver,0.16934037
CUST_000441,Low Risk/Stable,Silver,0.14057077
CUST_000442,Low Risk/Stable,Silver,0.13562465
CUST_000443,Low Risk/Stable,Platinum,0.06686919
CUST_000444,Medium Risk,Silver,0.17211881
CUST_000445,Medium Risk,Silver,0.20606886
CUST_000446,Low Risk/Stable,Silver,0.10859252
CUST_000447,Low Risk/Stable,Silver,0.13365905
CUST_000448,Medium Risk,Platinum,0.29616413
CUST_000449,Low Risk/Stable,Silver,0.12552363
CUST_000450,Low Risk/Stable,Silver,0.11874826
CUST_000451,Medium Risk,Silver,0.326277
CUST_000452,Low Risk/Stable,Gold,0.072265536
CUST_000453,Low Risk/Stable,Silver,0.13031161
CUST_000454,High Risk,Silver,0.67779535
CUST_000455,Low Risk/Stable,Silver,0.06230621
CUST_000456,Medium Risk,Silver,0.17896801
CUST_000457,Low Risk/Stable,Platinum,0.08837358
CUST_000458,Low Risk/Stable,Silver,0.07340598
CUST_000459,Low Risk/Stable,Silver,0.106406614
CUST_000460,Medium Risk,Silver,0.2210196
CUST_000461,Low Risk/Stable,Platinum,0.08989345
CUST_000462,Medium Risk,Gold,0.16350038
CUST_000463,Low Risk/Stable,Silver,0.056873955
CUST_000464,Medium Risk,Silver,0.16975027
CUST_000465,Low Risk/Stable,Silver,0.07373557
CUST_000466,High Risk,Silver,0.56725764
CUST_000467,Medium Risk,Silver,0.329965
CUST_000468,Low Risk/Stable,Silver,0.12513188
CUST_000469,Low Risk/Stable,Silver,0.08069885
CUST_000470,High Risk,Silver,0.5848342
CUST_000471,Medium Risk,Silver,0.25598013
CUST_000472,Low Risk/Stable,Silver,0.11952169
CUST_000473,Low Risk/Stable,Silver,0.080844656
CUST_000474,Low Risk/Stable,Silver,0.12788196
CUST_000475,Low Risk/Stable,Silver,0.06481799
CUST_000476,High Risk,Silver,0.4766928
CUST_000477,Medium Risk,Platinum,0.16775854
CUST_000478,Low Risk/Stable,Silver,0.09751456
CUST_000479,Low Risk/Stable,Silver,0.095502846
CUST_000480,Low Risk/Stable,Silver,0.07516291
CUST_000481,Medium Risk,Silver,0.39932856
CUST_000482,Low Risk/Stable,Silver,0.08672965
CUST_000483,Low Risk/Stable,Silver,0.08416167
CUST_000484,Medium Risk,Silver,0.16583404
CUST_000485,Low Risk/Stable,Silver,0.08304996
CUST_000486,Low Risk/Stable,Silver,0.08702851
CUST_000487,Low Risk/Stable,Silver,0.07558381
CUST_000488,Low Risk/Stable,Silver,0.06383208
CUST_000489,Low Risk/Stable,Silver,0.10107203
CUST_000490,Low Risk/Stable,Silver,0.089389294
CUST_000491,Medium Risk,Silver,0.24275245
CUST_000492,Low Risk/Stable,Silver,0.11477768
CUST_000493,Medium Risk,Silver,0.16588034
CUST_000494,Low Risk/Stable,Platinum,0.070330344
CUST_000495,Medium Risk,Silver,0.36508805
CUST_000496,Medium Risk,Silver,0.261714
CUST_000497,Low Risk/Stable,Platinum,0.06214261
CUST_000498,Low Risk/Stable,Silver,0.10979388
CUST_000499,Low Risk/Stable,Silver,0.07388937
CUST_000500,Low Risk/Stable,Silver,0.10860829
CUST_000501,High Risk,Silver,0.64354765
CUST_000502,High Risk,Silver,0.52074164
CUST_000503,Medium Risk,Silver,0.18874176
CUST_000504,Low Risk/Stable,Silver,0.06135391
CUST_000505,Medium Risk,Silver,0.27066323
CUST_000506,Low Risk/Stable,Silver,0.13685545
CUST_000507,Low Risk/Stable,Gold,0.10220893
CUST_000508,High Risk,Platinum,0.60533524
CUST_000509,Medium Risk,Silver,0.2366196
CUST_000510,Low Risk/Stable,Silver,0.11408957
CUST_000511,Low Risk/Stable,Silver,0.11324785
CUST_000512,Low Risk/Stable,Gold,0.11030057
CUST_000513,Low Risk/Stable,Silver,0.13700627
CUST_000514,Low Risk/Stable,Silver,0.093787126
CUST_000515,Low Risk/Stable,Silver,0.09210908
CUST_000516,Low Risk/Stable,Silver,0.0791426
CUST_000517,Critical,Silver,0.791699
CUST_000518,Medium Risk,Silver,0.15004513
CUST_000519,Low Risk/Stable,Silver,0.08705331
CUST_000520,Low Risk/Stable,Platinum,0.10266234
CUST_000521,Low Risk/Stable,Silver,0.060340084
CUST_000522,Low Risk/Stable,Silver,0.12832446
CUST_000523,Medium Risk,Platinum,0.19996879
CUST_000524,Medium Risk,Silver,0.17354435
CUST_000525,Low Risk/Stable,Platinum,0.10233743
CUST_000526,Medium Risk,Silver,0.2978768
CUST_000527,Medium Risk,Silver,0.19602011
CUST_000528,Low Risk/Stable,Gold,0.08569727
CUST_000529,Low Risk/Stable,Gold,0.13331933
CUST_000530,Medium Risk,Silver,0.24680355
CUST_000531,Low Risk/Stable,Silver,0.08246845
CUST_000532,Low Risk/Stable,Silver,0.112175226
CUST_000533,Medium Risk,Silver,0.15512483
CUST_000534,Low Risk/Stable,Silver,0.13690922
CUST_000535,High Risk,Silver,0.689931
CUST_000536,Low Risk/Stable,Silver,0.08267127
CUST_000537,Low Risk/Stable,Silver,0.11319892
CUST_000538,Low Risk/Stable,Silver,0.06859695
CUST_000539,Medium Risk,Silver,0.16068876
CUST_000540,Low Risk/Stable,Silver,0.13479535
CUST_000541,Low Risk/Stable,Silver,0.0908331
CUST_000542,Low Risk/Stable,Silver,0.08369869
CUST_000543,Low Risk/Stable,Silver,0.07742024
CUST_000544,Medium Risk,Silver,0.18110564
CUST_000545,Critical,Silver,0.7434759
